Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
JAYA TOWER,"4,080,000","2,142.04","1,905",27-Aug-21,431 BUKIT TIMAH ROAD #07-431,Resale,Strata,199,"20,503",-,Apartment,1,Freehold,1979,Private,259738,10,25,Central Region,Tanglin
N.A.,"10,830,000","5,856.69","1,849",27-Aug-21,19 CORONATION WALK,Resale,Land,544.1,"19,904",-,Detached House,1,Freehold,1978,Private,269219,10,26,Central Region,Bukit Timah
38 I SUITES,"1,088,000",688.9,"1,579",27-Aug-21,38 IPOH LANE #11-12,Resale,Strata,64,"17,000",-,Apartment,1,Freehold,2014,Private,438646,15,43,Central Region,Geylang
N.A.,"11,880,000","4,896.54","2,426",27-Aug-21,22 JALAN KELAWAR,Resale,Land,454.9,"26,116",-,Semi-Detached House,1,Freehold,-,Private,249263,10,24,Central Region,River Valley
REFLECTIONS AT KEPPEL BAY,"2,285,000","1,410.08","1,620",27-Aug-21,23 KEPPEL BAY VIEW #25-73,Resale,Strata,131,"17,443",-,Condominium,1,99 yrs from 15/03/2006,2011,Private,98414,4,9,Central Region,Bukit Merah
D'LEEDON,"1,818,000","1,033.34","1,759",27-Aug-21,13 LEEDON HEIGHTS #13-49,Resale,Strata,96,"18,938",-,Condominium,1,99 yrs from 08/04/2010,2014,Private,266224,10,26,Central Region,Bukit Timah
M21,"2,288,200","1,345.50","1,701",27-Aug-21,21 MANDALAY ROAD #14-02,Resale,Strata,125,"18,306",-,Apartment,1,Freehold,2010,Private,308208,11,30,Central Region,Novena
RIVERBAY,"1,030,000",753.48,"1,367",27-Aug-21,23 MAR THOMA ROAD #13-07,Resale,Strata,70,"14,714",-,Apartment,1,999 yrs from 02/06/1882,2014,Private,328704,12,32,Central Region,Kallang
COTE D'AZUR,"2,435,000","1,679.18","1,450",27-Aug-21,66 MARINE PARADE ROAD #09-10,Resale,Strata,156,"15,609",-,Condominium,1,99 yrs from 25/07/2001,2004,Private,449300,15,44,Central Region,Marine Parade
MARSHALL LODGE,"2,100,000","1,776.06","1,182",27-Aug-21,89 MARSHALL ROAD #01-07,Resale,Strata,165,"12,727",-,Apartment,1,Freehold,1995,HDB,424886,15,42,Central Region,Marine Parade
NEWTON 18,"3,430,000","2,195.86","1,562",27-Aug-21,18 NEWTON ROAD #30-01,Resale,Strata,204,"16,814",-,Apartment,1,Freehold,2002,Private,307989,11,30,Central Region,Novena
LIIV RESIDENCES,"1,506,400","1,248.62","1,206",27-Aug-21,339 PASIR PANJANG ROAD #05-02,Resale,Strata,116,"12,986",-,Apartment,1,Freehold,2018,Private,117368,5,11,Central Region,Queenstown
ECHELON,"1,628,000",861.12,"1,891",27-Aug-21,9 ALEXANDRA VIEW #02-11,Resale,Strata,80,"20,350",-,Condominium,1,99 yrs from 06/03/2012,2016,Private,158742,3,15,Central Region,Bukit Merah
THE SHORE RESIDENCES,"1,550,000",893.41,"1,735",27-Aug-21,81 AMBER ROAD #16-04,Resale,Strata,83,"18,675",-,Condominium,1,103 yrs from 18/08/2009,2014,HDB,439893,15,43,Central Region,Marine Parade
THE LINE @ TANJONG RHU,"2,900,000","1,205.57","2,406",27-Aug-21,6 TANJONG RHU ROAD #17-06,Resale,Strata,112,"25,893",-,Condominium,1,Freehold,2016,Private,436883,15,43,Central Region,Kallang
THE GARDENS AT BISHAN,"1,630,000","1,205.57","1,352",27-Aug-21,3 SIN MING WALK #12-22,Resale,Strata,112,"14,554",-,Condominium,1,99 yrs from 22/03/1997,2004,Private,575575,20,57,Central Region,Bishan
ONE ST MICHAEL'S,"1,715,000","1,248.62","1,374",27-Aug-21,1 ST. MICHAEL'S ROAD #13-01,Resale,Strata,116,"14,784",-,Condominium,1,Freehold,2009,HDB,328006,12,32,Central Region,Kallang
ALEXIS,"1,100,000",828.83,"1,327",27-Aug-21,356 ALEXANDRA ROAD #06-28,Resale,Strata,77,"14,286",-,Apartment,1,Freehold,2012,Private,159949,3,15,Central Region,Queenstown
ONE DEVONSHIRE,"3,150,000","1,291.68","2,439",27-Aug-21,1 DEVONSHIRE ROAD #12-03,Resale,Strata,120,"26,250",-,Condominium,1,Freehold,2011,Private,239896,9,23,Central Region,River Valley
D'LEEDON,"1,738,000",990.29,"1,755",27-Aug-21,11 LEEDON HEIGHTS #06-31,Resale,Strata,92,"18,891",-,Condominium,1,99 yrs from 08/04/2010,2014,HDB,267955,10,26,Central Region,Bukit Timah
D'LEEDON,"2,260,000","1,216.33","1,858",27-Aug-21,9 LEEDON HEIGHTS #29-28,Resale,Strata,113,"20,000",-,Condominium,1,99 yrs from 08/04/2010,2014,HDB,267954,10,26,Central Region,Bukit Timah
TREVISTA,"1,200,000",893.41,"1,343",27-Aug-21,25 LORONG 3 TOA PAYOH #04-14,Resale,Strata,83,"14,458",-,Condominium,1,99 yrs from 15/07/2008,2011,Private,319583,12,31,Central Region,Toa Payoh
WHITEHAVEN,"930,000",538.2,"1,728",27-Aug-21,334A PASIR PANJANG ROAD #03-23,Resale,Strata,50,"18,600",-,Apartment,1,Freehold,2016,Private,117382,5,11,Central Region,Queenstown
THE FORD @ HOLLAND,"3,000,000","1,937.52","1,548",27-Aug-21,1 FORD AVENUE #05-05,Resale,Strata,180,"16,667",-,Condominium,1,Freehold,2009,Private,268685,10,26,Central Region,Bukit Timah
N.A.,"5,520,000","2,372.39","2,327",27-Aug-21,7 GREENWOOD PLACE,Resale,Land,220.4,"25,045",-,Terrace House,1,Freehold,1991,Private,289132,11,28,Central Region,Bukit Timah
BALMORAL HEIGHTS,"998,000",548.96,"1,818",27-Aug-21,8 BALMORAL CRESCENT #04-04,Resale,Strata,51,"19,569",-,Apartment,1,Freehold,2004,Private,259928,10,25,Central Region,Newton
THE WHITLEY RESIDENCES,"4,750,000","5,608.04",847,27-Aug-21,137E WHITLEY ROAD,Resale,Strata,521,"9,117",-,Semi-Detached House,1,Freehold,2016,Private,297683,11,29,Central Region,Novena
8@WOODLEIGH,"730,000",559.73,"1,304",27-Aug-21,6 WOODLEIGH CLOSE #01-13,Resale,Strata,52,"14,038",-,Condominium,1,99 yrs from 22/09/2008,2012,HDB,357902,13,35,Central Region,Toa Payoh
R66 APARTMENTS,"670,000",452.09,"1,482",27-Aug-21,66 RANGOON ROAD #05-08,Resale,Strata,42,"15,952",-,Apartment,1,Freehold,2007,Private,218356,8,21,Central Region,Kallang
FLORA EAST,"1,690,000","1,506.96","1,121",27-Aug-21,237 JOO CHIAT PLACE,Resale,Strata,140,"12,071",-,Apartment,1,Freehold,1993,Private,427930,15,42,Central Region,Geylang
