Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
SEASIDE RESIDENCES,"1,025,000",559.73,"1,831",01-Oct-20,16 SIGLAP LINK #04-17,New Sale,Strata,52,"19,712",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448872,15,44,East Region,Bedok
MONT BOTANIK RESIDENCE,"1,290,000",775.01,"1,664",01-Oct-20,2L JALAN REMAJA #02-12,New Sale,Strata,72,"17,917",-,Condominium,1,Freehold,Uncompleted,Private,668729,23,66,West Region,Bukit Batok
THE WOODLEIGH RESIDENCES,"1,113,000",570.49,"1,951",01-Oct-20,21 BIDADARI PARK DRIVE #11-21,New Sale,Strata,53,"21,000",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,HDB,367795,13,36,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,134,000",570.49,"1,988",01-Oct-20,23 BIDADARI PARK DRIVE #12-30,New Sale,Strata,53,"21,396",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,HDB,367796,13,36,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,132,000",570.49,"1,984",01-Oct-20,23 BIDADARI PARK DRIVE #12-37,New Sale,Strata,53,"21,358",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367796,13,36,Central Region,Toa Payoh
AFFINITY AT SERANGOON,"1,628,000","1,076.40","1,512",01-Oct-20,24 SERANGOON NORTH AVENUE 1 #07-32,New Sale,Strata,100,"16,280",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554339,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"763,100",452.09,"1,688",01-Oct-20,1 SERANGOON NORTH VIEW #06-01,New Sale,Strata,42,"18,169",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,HDB,554343,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,718,100","1,119.46","1,535",01-Oct-20,3 SERANGOON NORTH VIEW #07-22,New Sale,Strata,104,"16,520",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554344,19,55,North East Region,Serangoon
DAINTREE RESIDENCE,"1,999,888","1,205.57","1,659",01-Oct-20,11G TOH TUCK ROAD #04-36,New Sale,Strata,112,"17,856",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,Private,596129,21,59,Central Region,Bukit Timah
WHISTLER GRAND,"983,200",602.78,"1,631",01-Oct-20,107 WEST COAST VALE #34-11,New Sale,Strata,56,"17,557",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,Private,126751,5,12,West Region,Clementi
PIERMONT GRAND,"985,770",839.59,"1,174",01-Oct-20,46 SUMANG WALK #10-53,New Sale,Strata,78,"12,638",-,Executive Condominium,1,99 yrs from 04/06/2018,Uncompleted,HDB,828628,19,82,North East Region,Punggol
COASTLINE RESIDENCES,"1,697,850",710.42,"2,390",01-Oct-20,9 AMBER ROAD #07-07,New Sale,Strata,66,"25,725",-,Apartment,1,Freehold,Uncompleted,HDB,439854,15,43,Central Region,Marine Parade
