Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
WATERFRONT ISLE,"1,360,000","1,270.15","1,071",01-Sep-20,730 BEDOK RESERVOIR ROAD #02-03,Resale,Strata,118,"11,525",-,Condominium,1,99 yrs from 26/11/2009,2015,Private,479261,16,47,East Region,Bedok
THE GLADES,"645,000",452.09,"1,427",01-Sep-20,12 BEDOK RISE #11-46,Resale,Strata,42,"15,357",-,Condominium,1,99 yrs from 21/01/2013,2016,Private,465407,16,46,East Region,Bedok
THOMSON THREE,"1,750,000","1,140.98","1,534",01-Sep-20,41 BRIGHT HILL DRIVE #03-02,Resale,Strata,106,"16,509",-,Apartment,1,99 yrs from 07/11/2012,2016,Private,573893,20,57,Central Region,Bishan
FLORIDIAN,"4,022,500","2,357.32","1,706",01-Sep-20,977 BUKIT TIMAH ROAD #08-32,Resale,Strata,219,"18,368",-,Condominium,1,Freehold,2012,Private,589626,21,58,Central Region,Bukit Timah
DUCHESS CREST,"2,388,000","1,883.70","1,268",01-Sep-20,56 DUCHESS AVENUE #01-06,Resale,Strata,175,"13,646",-,Condominium,1,99 yrs from 24/06/1995,1998,HDB,269199,10,26,Central Region,Bukit Timah
THE EDGEWATER,"870,000",979.52,888,01-Sep-20,211 JALAN LOYANG BESAR #03-02,Resale,Strata,91,"9,560",-,Condominium,1,Freehold,2003,Private,509504,17,50,East Region,Pasir Ris
N.A.,"2,640,000","1,387.48","1,903",01-Sep-20,75 JOO CHIAT TERRACE,Resale,Land,128.9,"20,481",-,Terrace House,1,Freehold,-,Private,427238,15,42,Central Region,Geylang
VACANZA @ EAST,"915,000",807.3,"1,133",01-Sep-20,38 LENGKONG TUJOH #08-09,Resale,Strata,75,"12,200",-,Condominium,1,Freehold,2014,HDB,417392,14,41,East Region,Bedok
SUNNY PALMS,"1,950,000","3,110.80",627,01-Sep-20,65 LORONG G TELOK KURAU #04-01,Resale,Strata,289,"6,747",-,Condominium,1,Freehold,2004,HDB,426323,15,42,East Region,Bedok
THE SAIL @ MARINA BAY,"1,200,000",667.37,"1,798",01-Sep-20,2 MARINA BOULEVARD #61-11,Resale,Strata,62,"19,355",-,Apartment,1,99 yrs from 12/08/2002,2008,Private,18987,1,1,Central Region,Downtown Core
ASPEN HEIGHTS,"2,318,000","1,323.97","1,751",01-Sep-20,263 RIVER VALLEY ROAD #07-06,Resale,Strata,123,"18,846",-,Condominium,1,999 yrs from 01/07/1841,1998,Private,238309,9,23,Central Region,River Valley
WATERCOLOURS,"1,060,000","1,485.43",714,01-Sep-20,31 PASIR RIS LINK #01-26,Resale,Strata,138,"7,681",-,Executive Condominium,1,99 yrs from 10/01/2012,2014,HDB,518153,18,51,East Region,Pasir Ris
SEASONS VIEW,"1,200,000","1,140.98","1,052",01-Sep-20,5 PEMIMPIN DRIVE #08-05,Resale,Strata,106,"11,321",-,Condominium,1,99 yrs from 06/09/1996,2000,HDB,576149,20,57,Central Region,Bishan
76 SHENTON,"1,760,000",979.52,"1,797",01-Sep-20,76 SHENTON WAY #37-02,Resale,Strata,91,"19,341",-,Apartment,1,99 yrs from 12/04/2007,2014,Private,79119,2,7,Central Region,Downtown Core
TERRASSE,"1,950,000","2,497.25",781,01-Sep-20,31 TERRASSE LANE #01-63,Resale,Strata,232,"8,405",-,Condominium,1,99 yrs from 23/08/2010,2014,Private,544779,19,54,North East Region,Hougang
MARTIN MODERN,"4,392,800","1,733","2,418",01-Sep-20,8 MARTIN PLACE #02-03,New Sale,Strata,161,"26,025","4,190,000",Condominium,1,99 yrs from 28/09/2016,Uncompleted,N.A,237992,9,23,Central Region,River Valley
SEASIDE RESIDENCES,"1,385,000",678.13,"1,959",01-Sep-20,16 SIGLAP LINK #26-21,New Sale,Strata,63,"21,083","1,328,240",Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448872,15,44,East Region,Bedok
JADESCAPE,"1,390,700",764.24,"1,820",01-Sep-20,10 SHUNFU ROAD #09-35,New Sale,Strata,71,"19,587",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,HDB,575746,20,57,Central Region,Bishan
JADESCAPE,"1,442,400",764.24,"1,887",01-Sep-20,10 SHUNFU ROAD #19-35,New Sale,Strata,71,"20,315",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,HDB,575746,20,57,Central Region,Bishan
THE WOODLEIGH RESIDENCES,"1,209,000",667.37,"1,812",01-Sep-20,19 BIDADARI PARK DRIVE #04-19,New Sale,Strata,62,"19,500",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367794,13,36,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,204,000",667.37,"1,804",01-Sep-20,19 BIDADARI PARK DRIVE #03-19,New Sale,Strata,62,"19,419",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,Private,367794,13,36,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,348,000",699.66,"1,927",01-Sep-20,21 BIDADARI PARK DRIVE #13-23,New Sale,Strata,65,"20,738",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,Private,367795,13,36,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,250,000",667.37,"1,873",01-Sep-20,23 BIDADARI PARK DRIVE #12-31,New Sale,Strata,62,"20,161",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,HDB,367796,13,36,Central Region,Toa Payoh
AFFINITY AT SERANGOON,"1,735,000","1,151.75","1,506",01-Sep-20,20 SERANGOON NORTH AVENUE 1 #05-11,New Sale,Strata,107,"16,215",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,N.A,554337,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,809,600","1,119.46","1,616",01-Sep-20,7 SERANGOON NORTH VIEW #13-34,New Sale,Strata,104,"17,400",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554346,19,55,North East Region,Serangoon
DAINTREE RESIDENCE,"1,339,870",775.01,"1,729",01-Sep-20,11A TOH TUCK ROAD #02-05,New Sale,Strata,72,"18,609",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,N.A,596157,21,59,Central Region,Bukit Timah
DAINTREE RESIDENCE,"2,480,680","1,485.43","1,670",01-Sep-20,11E TOH TUCK ROAD #02-22,New Sale,Strata,138,"17,976",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,Private,596127,21,59,Central Region,Bukit Timah
DAINTREE RESIDENCE,"1,027,480",559.73,"1,836",01-Sep-20,11K TOH TUCK ROAD #01-51,New Sale,Strata,52,"19,759",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,N.A,596132,21,59,Central Region,Bukit Timah
THE JOVELL,"912,000",721.19,"1,265",01-Sep-20,13 FLORA DRIVE #03-12,New Sale,Strata,67,"13,612",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,HDB,506853,17,50,East Region,Pasir Ris
